source_id,latitude,longitude,fish,date,waterbody,source_url,original_source_url,included,inclusion_reason
11684,60.110836,32.325533,Щука,2019-10-23,Волхов,https://ru.fishermap.org/location/11684/,https://vk.com/wall-56433000_2005158,true,нижний Волхов
13142,60.191962,32.223892,Щука,2019-09-09,Ладожское озеро,https://ru.fishermap.org/location/13142/,https://vk.com/wall-52321266_491861,true,Ладожское озеро
13175,60.12697277,31.60388947,Окунь,2019-11-26,Ладожское озеро,https://ru.fishermap.org/location/13175/,https://vk.com/wall-52321266_507697,true,Ладожское озеро
13400,60.453156,32.811084,Плотва,2019-05-15,Загубская губа,https://ru.fishermap.org/location/13400/,https://vk.com/wall-10618634_376552,true,Загубская губа без речной привязки
13409,60.267281,32.048983,Щука,2019-06-03,Ладожское озеро,https://ru.fishermap.org/location/13409/,https://vk.com/wall-10618634_379666,true,Ладожское озеро
13412,60.207024,32.204395,Щука,2019-06-08,Ладожское озеро,https://ru.fishermap.org/location/13412/,https://vk.com/wall-10618634_380875,true,Ладожское озеро
13423,60.1155564,32.33851433,Щука,2019-07-24,Волхов,https://ru.fishermap.org/location/13423/,https://vk.com/wall-10618634_388731,true,нижний Волхов
13429,60.013785,32.324611,Густера; Лещ,2019-06-18,Волхов,https://ru.fishermap.org/location/13429/,https://vk.com/wall-10618634_382527,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
13439,60.011947,32.325845,Лещ,2019-10-17,Волхов,https://ru.fishermap.org/location/13439/,https://vk.com/wall-10618634_395985,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
13441,60.068341,32.338351,Лещ,2019-09-17,Волхов,https://ru.fishermap.org/location/13441/,https://vk.com/wall-10618634_393580,true,нижний Волхов
14097,60.120745,32.318611,Щука; Карп; Лещ,2019-09-02,Волхов,https://ru.fishermap.org/location/14097/,https://vk.com/wall-47864815_4174,true,нижний Волхов
14098,60.15183,32.258078,Щука; Окунь,2019-09-05,Ладожское озеро,https://ru.fishermap.org/location/14098/,https://vk.com/wall-47864815_4211,true,Ладожское озеро
14369,60.100498,32.313622,Лещ,2016-05-22,Волхов,https://ru.fishermap.org/location/14369/,https://vk.com/wall-1610594_16023,true,нижний Волхов
14383,60.10428,31.535041,Плотва,2016-12-24,Ладожское озеро,https://ru.fishermap.org/location/14383/,https://vk.com/wall-1610594_18615,true,Ладожское озеро
14815,60.013385,32.323682,Лещ,2017-12-28,Волхов,https://ru.fishermap.org/location/14815/,https://vk.com/wall-158579727_35,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
15368,60.165785,32.248314,Щука,2019-06-17,Ладожское озеро,https://ru.fishermap.org/location/15368/,https://vk.com/wall-162151399_14998,true,Ладожское озеро
15377,59.946064,31.578757,Щука; Лещ,2019-06-28,,https://ru.fishermap.org/location/15377/,https://vk.com/wall-162151399_17557,true,целевая прибрежная зона; водоём в метаданных не указан
15385,59.982637,31.55379,Щука; Судак,2019-07-07,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/15385/,https://vk.com/wall-162151399_18909,true,Ладожское озеро
15386,60.20561,32.41823,Судак,2019-07-08,Ладожское озеро,https://ru.fishermap.org/location/15386/,https://vk.com/wall-162151399_19155,true,Ладожское озеро
15389,60.213908,32.2246,Щука; Судак,2019-07-12,Ладожское озеро,https://ru.fishermap.org/location/15389/,https://vk.com/wall-162151399_19843,true,Ладожское озеро
15393,60.150206,31.622075,Щука,2019-07-14,,https://ru.fishermap.org/location/15393/,https://vk.com/wall-162151399_20292,true,целевая прибрежная зона; водоём в метаданных не указан
15397,60.213078,32.448773,Щука; Судак,2019-07-15,Ладожское озеро,https://ru.fishermap.org/location/15397/,https://vk.com/wall-162151399_20512,true,Ладожское озеро
15404,59.88101303,31.81617022,Щука,2019-07-21,,https://ru.fishermap.org/location/15404/,https://vk.com/wall-162151399_21547,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
15405,59.946032,31.578957,Щука,2019-07-22,,https://ru.fishermap.org/location/15405/,https://vk.com/wall-162151399_21636,true,целевая прибрежная зона; водоём в метаданных не указан
15407,60.083858,32.30831,Лещ; Сом,2019-07-28,Волхов,https://ru.fishermap.org/location/15407/,https://vk.com/wall-162151399_22765,true,нижний Волхов
15415,60.238105,31.97625,Окунь,2019-08-08,Ладожское озеро,https://ru.fishermap.org/location/15415/,https://vk.com/wall-162151399_24106,true,Ладожское озеро
15421,60.097415,32.310195,Щука; Судак,2019-08-12,Волхов,https://ru.fishermap.org/location/15421/,https://vk.com/wall-162151399_24395,true,нижний Волхов
15443,60.153482,32.484413,Щука; Судак,2019-10-01,Ладожское озеро,https://ru.fishermap.org/location/15443/,https://vk.com/wall-162151399_28467,true,Ладожское озеро
15447,59.981745,31.4043,Щука; Окунь,2019-10-18,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/15447/,https://vk.com/wall-162151399_29938,true,Ладожское озеро
15453,60.232853,32.055904,Щука; Голавль; Окунь,2019-11-26,Ладожское озеро,https://ru.fishermap.org/location/15453/,https://vk.com/wall-162151399_34100,true,Ладожское озеро
16225,59.985343,31.526859,Щука,2017-09-27,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16225/,https://vk.com/wall-21779973_76078,true,Ладожское озеро
16228,60.127233,31.595003,Окунь,2017-12-24,Ладожское озеро,https://ru.fishermap.org/location/16228/,https://vk.com/wall-21779973_78094,true,Ладожское озеро
16230,59.979758,31.494377,Окунь; Плотва,2018-01-23,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16230/,https://vk.com/wall-21779973_79411,true,Ладожское озеро
16235,60.141119,32.215248,Щука,2018-02-17,Ладожское озеро,https://ru.fishermap.org/location/16235/,https://vk.com/wall-21779973_81235,true,Ладожское озеро
16240,60.188581,32.172667,Окунь,2018-03-29,Ладожское озеро,https://ru.fishermap.org/location/16240/,https://vk.com/wall-21779973_83367,true,Ладожское озеро
16243,60.269817,32.609065,Лещ; Плотва,2018-04-07,Ладожское озеро,https://ru.fishermap.org/location/16243/,https://vk.com/wall-21779973_83933,true,Ладожское озеро
16244,60.04905,32.344292,Лещ,2018-08-02,Волхов,https://ru.fishermap.org/location/16244/,https://vk.com/wall-21779973_85295,true,нижний Волхов
16245,60.028505,31.452973,Окунь,2019-02-16,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16245/,https://vk.com/wall-21779973_88393,true,Ладожское озеро
16246,60.015231,31.407798,Плотва,2019-03-26,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16246/,https://vk.com/wall-21779973_89247,true,Ладожское озеро
16559,59.97432,31.511137,Окунь,2018-12-16,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16559/,https://vk.com/wall-114375980_108144,true,Ладожское озеро
16562,59.974928,31.517438,Окунь,2018-12-19,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16562/,https://vk.com/wall-114375980_108435,true,Ладожское озеро
