record_id,latitude,longitude,fish,source,source_url,source_id,original_source_url,date,sector,confidence_class,reports_count,analysis_weight,duplicate_of,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,waterbody,context_reports_count
fishermap-6192,60.406806,32.090174,Окунь; Судак,FisherMap,https://ru.fishermap.org/location/6192/,6192,https://vk.com/wall-1707795_2025,2014-07-15,о. Сухо,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,о. Сухо,0.123,35.529,Ладожское озеро,
fishermap-6330,60.114413,32.24307,Карась,FisherMap,https://ru.fishermap.org/location/6330/,6330,https://vk.com/wall-178041076_8244,2019-08-12,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,4.281,3.062,,
fishermap-7027,60.118082,32.324377,Окунь; Судак,FisherMap,https://ru.fishermap.org/location/7027/,7027,https://vk.com/wall-61270517_12729,2018-09-08,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.243,2.322,Волхов,
fishermap-7114,60.099401,32.310595,Щука,FisherMap,https://ru.fishermap.org/location/7114/,7114,https://vk.com/wall-55049510_6447,2018-08-18,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,2.133,1.038,Волхов,
fishermap-9093,59.975496,31.524648,Окунь,FisherMap,https://ru.fishermap.org/location/9093/,9093,https://vk.com/wall-164158114_27317,2019-02-20,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.222,45.037,Ладожское озеро; бухта Петрокрепость,
fishermap-9097,60.192721,31.636649,Плотва,FisherMap,https://ru.fishermap.org/location/9097/,9097,https://vk.com/wall-164158114_28896,2019-03-05,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,8.22,37.704,Ладожское озеро,
fishermap-9101,60.135523,31.571449,Щука,FisherMap,https://ru.fishermap.org/location/9101/,9101,https://vk.com/wall-164158114_30830,2019-03-19,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,2.746,40.181,Ладожское озеро,
fishermap-9118,60.132292,31.589045,Плотва,FisherMap,https://ru.fishermap.org/location/9118/,9118,https://vk.com/wall-164158114_37960,2019-04-22,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.793,39.182,Ладожское озеро,
fishermap-9145,60.08044339,32.32444346,Густера; Елец; Лещ,FisherMap,https://ru.fishermap.org/location/9145/,9145,https://vk.com/wall-164158114_46757,2019-05-26,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.769,3.09,Волхов,
fishermap-9173,60.288713,32.545015,Судак,FisherMap,https://ru.fishermap.org/location/9173/,9173,https://vk.com/wall-164158114_54707,2019-06-22,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,3.117,24.813,Ладожское озеро,
fishermap-9189,60.160774,32.241598,Щука,FisherMap,https://ru.fishermap.org/location/9189/,9189,https://vk.com/wall-164158114_59435,2019-07-07,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,1.022,6.977,Ладожское озеро,
fishermap-9206,60.02312866,31.54912412,Щука,FisherMap,https://ru.fishermap.org/location/9206/,9206,https://vk.com/wall-164158114_62057,2019-07-16,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. бухта Петрокрепость.,,,,Кобона / южный берег,0.766,42.292,бухта Петрокрепость,
fishermap-9212,60.095423,32.315172,Язь,FisherMap,https://ru.fishermap.org/location/9212/,9212,https://vk.com/wall-164158114_63136,2019-07-20,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,2.477,1.493,Волхов,
fishermap-9231,60.129187,31.607879,Щука; Окунь,FisherMap,https://ru.fishermap.org/location/9231/,9231,https://vk.com/wall-164158114_65210,2019-07-27,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.028,38.116,Ладожское озеро,
fishermap-9268,60.146076,31.619132,Судак,FisherMap,https://ru.fishermap.org/location/9268/,9268,https://vk.com/wall-164158114_73745,2019-08-27,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Шлиссельбург / бухта Петрокрепость,2.943,37.674,,
fishermap-9275,60.211948,32.208028,Щука,FisherMap,https://ru.fishermap.org/location/9275/,9275,https://vk.com/wall-164158114_77249,2019-09-08,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.452,12.941,Ладожское озеро,
fishermap-9280,60.260922,32.641088,Щука; Окунь; Линь,FisherMap,https://ru.fishermap.org/location/9280/,9280,https://vk.com/wall-164158114_79146,2019-09-14,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Вороново,3.541,25.96,,
fishermap-9301,60.095294,32.315008,Лещ,FisherMap,https://ru.fishermap.org/location/9301/,9301,https://vk.com/wall-164158114_87337,2019-10-14,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,2.467,1.495,Волхов,
