lat,lon,kind,cls,prec,fish,date,season,sector,dist,zone,title,comment,depth,method,catch,src,url,orig,sid
60.483548,32.841609,fishing,B,100,Окунь,2019-03-29,ice,Свирская губа / устье Свири,51.9,core,"Свирь — 3,9 км на СЗ от «Свирица»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6164/,https://vk.com/wall-1707795_14693,6164
60.019048,31.441577,fishing,B,100,Ряпушка,2019-02-24,ice,Кобона / южный берег,48.2,core,"Бухта Петрокрепость — 5,5 км на СВ от «остров Новый Зеленец»",Фото улова (ряпушка) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6165/,https://vk.com/wall-1707795_14176,6165
60.110724,31.528745,fishing,B,100,Щука; Окунь,2019-02-26,ice,Кобона / южный берег,42.4,core,"Ладога — 2,9 км на Ю от «мыс Песоцкий нос»","Фото улова (щука, окунь) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6168/,https://vk.com/wall-1707795_14194,6168
60.486467,32.814823,fishing,B,100,Щука,2019-02-02,ice,Свирская губа / устье Свири,51.3,core,"Свирь — 4,3 км на С от «Куйвасарь»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6169/,https://vk.com/wall-1707795_13813,6169
59.981948,31.513851,fishing,B,100,Окунь,2018-12-24,,Кобона / южный берег,45.4,core,"Бухта Петрокрепость — 5,0 км на ЮЗ от «Кобона»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6170/,https://vk.com/wall-1707795_13087,6170
59.974345,31.524014,fishing,B,100,Окунь,2018-12-20,,Кобона / южный берег,45.1,core,"Бухта Петрокрепость — 4,3 км на СЗ от «Лаврово»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6171/,https://vk.com/wall-1707795_13013,6171
59.936183,31.442239,fishing,B,100,Окунь,2018-12-16,,Кобона / южный берег,50.9,core,"Бухта Петрокрепость — 4,2 км на С от «Нижняя Шальдиха»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6172/,https://vk.com/wall-1707795_12920,6172
60.131684,32.231764,fishing,B,100,Щука,2018-12-13,,Креницы / Волховская губа,4.6,core,"Ладога — 5,5 км на СЗ от «Новая Ладога»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6173/,https://vk.com/wall-1707795_12843,6173
60.120491,32.319319,fishing,B,100,Щука,2018-11-17,open_water,Новая Ладога / устье Волхова,2.3,core,"Устье Волхова — 1,4 км на СЗ от «Немятово-1»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6174/,https://vk.com/wall-1707795_12380,6174
60.254085,31.69197,fishing,B,100,Щука,2018-08-17,open_water,Лигово,37.3,core,"Ладога — 1,0 км на СВ от «остров Киревядь»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6175/,https://vk.com/wall-1707795_11973,6175
60.254115,31.692067,fishing,B,100,Щука,2018-08-16,open_water,Лигово,37.2,core,"Ладога — 1,0 км на СВ от «остров Киревядь»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6176/,https://vk.com/wall-1707795_11955,6176
60.13338,31.108066,fishing,B,100,Щука,2018-05-27,open_water,Осиновец / западный берег,65.8,ext,"Бухта Петрокрепость — 2,1 км на СВ от «мыс Осиновец»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6177/,https://vk.com/wall-1707795_11066,6177
60.025646,31.533428,fishing,B,100,Окунь,2018-05-15,open_water,Кобона / южный берег,43.1,core,"Бухта Петрокрепость — 1,2 км на З от «Кобона»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6179/,https://vk.com/wall-1707795_10922,6179
60.021826,31.486249,fishing,B,100,Окунь,2018-05-12,open_water,Кобона / южный берег,45.7,core,"Бухта Петрокрепость — 3,8 км на З от «Кобона»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6180/,https://vk.com/wall-1707795_10890,6180
60.342155,32.616426,fishing,B,100,Окунь,2018-02-16,ice,Вороново,31.9,core,"Ладога — 1,6 км на СВ от «Кириково»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6183/,https://vk.com/wall-1707795_9630,6183
59.997778,31.43971,fishing,B,100,Окунь,2018-01-30,ice,Кобона / южный берег,48.9,core,"Бухта Петрокрепость — 4,6 км на В от «остров Новый Зеленец»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6184/,https://vk.com/wall-1707795_9266,6184
59.986953,31.531942,fishing,B,100,Окунь,2018-01-27,ice,Кобона / южный берег,44.3,core,"Бухта Петрокрепость — 4,1 км на Ю от «Кобона»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6185/,https://vk.com/wall-1707795_9175,6185
60.480681,32.823847,fishing,B,100,Щука; Окунь,2018-01-27,ice,Свирская губа / устье Свири,51.1,core,"Свирь у Загубской губы — 3,8 км на С от «Куйвасарь»","Фото улова (щука, окунь) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6187/,https://vk.com/wall-1707795_9162,6187
60.541373,32.686407,fishing,B,100,Судак,2017-08-22,open_water,Свирская губа / устье Свири,53.2,core,"Ладога — 3,4 км на В от «мыс Сторожно»",Фото улова (судак) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6188/,https://vk.com/wall-1707795_8027,6188
59.975585,31.068782,fishing,B,100,Плотва,2017-05-19,open_water,Шлиссельбург / бухта Петрокрепость,69.5,ext,Бухта Петрокрепость — у «Кошкино»,Фото улова (плотва) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6190/,https://vk.com/wall-1707795_7268,6190
60.175403,32.212548,fishing,B,100,Окунь; Плотва,2017-03-19,ice,Креницы / Волховская губа,9.2,core,"Ладога — 7,6 км на ЮВ от «мыс Княжой»","Фото улова (окунь, плотва) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6191/,https://vk.com/wall-1707795_6305,6191
60.406806,32.090174,fishing,B,100,Окунь; Судак,2014-07-15,open_water,о. Сухо,35.5,core,Ладога — у «остров Сухо»,"Фото улова (окунь, судак) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6192/,https://vk.com/wall-1707795_2025,6192
